"year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour"
2019,5,1,1,2355,6,554,600,-6,"AA",67,"N930AU","LAX","ORD",199,1744,23,55,2019-05-01 23:00:00
2019,5,1,10,15,-5,807,837,-30,"UA",295,"N12116","LAX","EWR",274,2454,0,15,2019-05-01 00:00:00
2019,5,1,14,18,-4,557,620,-23,"UA",241,"N68807","LAX","ORD",201,1744,0,18,2019-05-01 00:00:00
2019,5,1,22,29,-7,843,912,-29,"B6",486,"N992JB","LAX","JFK",303,2475,0,29,2019-05-01 00:00:00
2019,5,1,41,15,26,855,812,43,"AA",89,"N148AN","LAX","MIA",265,2342,0,15,2019-05-01 00:00:00
2019,5,1,42,45,-3,756,800,-4,"DL",520,"N822DX","LAX","ATL",226,1947,0,45,2019-05-01 00:00:00
2019,5,1,43,35,8,601,615,-14,"DL",138,"N182DN","LAX","MSP",174,1535,0,35,2019-05-01 00:00:00
2019,5,1,43,41,2,840,826,14,"AA",453,"N586UW","LAX","CLT",260,2125,0,41,2019-05-01 00:00:00
2019,5,1,54,55,-1,546,557,-11,"UA",558,"N210UA","LAX","IAH",149,1379,0,55,2019-05-01 00:00:00
2019,5,1,101,59,2,703,709,-6,"AA",96,"N132AN","LAX","ORD",215,1744,0,59,2019-05-01 00:00:00
2019,5,1,104,105,-1,615,601,14,"AA",349,"N140AN","LAX","DFW",160,1235,1,5,2019-05-01 01:00:00
2019,5,1,116,59,17,422,426,-4,"F9",104,"N701FR","LAX","DEN",102,862,0,59,2019-05-01 00:00:00
2019,5,1,253,53,120,841,655,106,"UA",498,"N78438","LAX","ORD",201,1744,0,53,2019-05-01 00:00:00
2019,5,1,506,510,-4,726,730,-4,"WN",215,"N7740A","LAX","PDX",124,834,5,10,2019-05-01 05:00:00
2019,5,1,513,520,-7,1009,1015,-6,"WN",77,"N7831B","LAX","DAL",153,1246,5,20,2019-05-01 05:00:00
2019,5,1,526,530,-4,644,650,-6,"WN",420,"N8326F","LAX","OAK",54,337,5,30,2019-05-01 05:00:00
2019,5,1,527,530,-3,1323,1406,-43,"B6",8,"N943JT","LAX","JFK",280,2475,5,30,2019-05-01 05:00:00
2019,5,1,528,530,-2,1254,1300,-6,"WN",238,"N8322X","LAX","PIT",246,2136,5,30,2019-05-01 05:00:00
2019,5,1,539,540,-1,1045,1050,-5,"WN",150,"N8687A","LAX","HOU",166,1390,5,40,2019-05-01 05:00:00
2019,5,1,540,549,-9,1348,1423,-35,"B6",65,"N934JB","LAX","BOS",288,2611,5,49,2019-05-01 05:00:00
2019,5,1,552,600,-8,847,852,-5,"DL",392,"N851DN","LAX","SEA",153,954,6,0,2019-05-01 06:00:00
2019,5,1,553,600,-7,820,835,-15,"AS",267,"N633VA","LAX","PDX",125,834,6,0,2019-05-01 06:00:00
2019,5,1,555,600,-5,958,855,63,"AS",105,"N533AS","LAX","SEA",145,954,6,0,2019-05-01 06:00:00
2019,5,1,555,600,-5,1055,1114,-19,"UA",559,"N63820","LAX","IAH",160,1379,6,0,2019-05-01 06:00:00
2019,5,1,555,600,-5,657,708,-11,"NK",165,"N901NK","LAX","LAS",39,236,6,0,2019-05-01 06:00:00
2019,5,1,555,600,-5,828,824,4,"DL",22,"N919AT","LAX","PDX",124,834,6,0,2019-05-01 06:00:00
2019,5,1,557,600,-3,1345,1413,-28,"AA",218,"N157UW","LAX","PHL",265,2402,6,0,2019-05-01 06:00:00
2019,5,1,600,600,0,917,925,-8,"WN",343,"N7734H","LAX","DEN",107,862,6,0,2019-05-01 06:00:00
2019,5,1,600,600,0,857,859,-2,"DL",565,"N849DN","LAX","SLC",82,590,6,0,2019-05-01 06:00:00
2019,5,1,604,605,-1,1414,1438,-24,"DL",364,"N186DN","LAX","JFK",277,2475,6,5,2019-05-01 06:00:00
2019,5,1,604,610,-6,1102,1117,-15,"AA",640,"N146AA","LAX","DFW",148,1235,6,10,2019-05-01 06:00:00
2019,5,1,604,605,-1,718,735,-17,"AA",459,"N752US","LAX","PHX",55,370,6,5,2019-05-01 06:00:00
2019,5,1,610,610,0,737,725,12,"WN",975,"N749SW","LAX","OAK",55,337,6,10,2019-05-01 06:00:00
2019,5,1,613,615,-2,1323,1333,-10,"DL",650,"N541US","LAX","ATL",226,1947,6,15,2019-05-01 06:00:00
2019,5,1,615,615,0,1131,1150,-19,"DL",334,"N587NW","LAX","MSP",177,1535,6,15,2019-05-01 06:00:00
2019,5,1,618,630,-12,737,800,-23,"AS",245,"N528AS","LAX","SFO",56,337,6,30,2019-05-01 06:00:00
2019,5,1,624,620,4,928,940,-12,"UA",439,"N38454","LAX","DEN",104,862,6,20,2019-05-01 06:00:00
2019,5,1,626,630,-4,743,801,-18,"UA",131,"N467UA","LAX","SFO",57,337,6,30,2019-05-01 06:00:00
2019,5,1,629,635,-6,731,758,-27,"UA",450,"N62895","LAX","LAS",40,236,6,35,2019-05-01 06:00:00
2019,5,1,640,640,0,748,805,-17,"WN",505,"N267WN","LAX","SFO",55,337,6,40,2019-05-01 06:00:00
2019,5,1,647,610,37,1303,1222,41,"AA",576,"N129AA","LAX","ORD",214,1744,6,10,2019-05-01 06:00:00
2019,5,1,648,700,-12,945,955,-10,"AS",263,"N838VA","LAX","SEA",144,954,7,0,2019-05-01 07:00:00
2019,5,1,650,700,-10,1452,1536,-44,"B6",27,"N947JB","LAX","JFK",281,2475,7,0,2019-05-01 07:00:00
2019,5,1,650,650,0,1230,1240,-10,"WN",389,"N8556Z","LAX","MDW",209,1750,6,50,2019-05-01 06:00:00
2019,5,1,650,700,-10,801,811,-10,"OO",703,"N744SK","LAX","FAT",39,209,7,0,2019-05-01 07:00:00
2019,5,1,653,700,-7,1505,1525,-20,"AS",149,"N467AS","LAX","EWR",276,2454,7,0,2019-05-01 07:00:00
2019,5,1,653,700,-7,1250,1305,-15,"UA",539,"N75854","LAX","ORD",201,1744,7,0,2019-05-01 07:00:00
2019,5,1,653,700,-7,1455,1526,-31,"AA",26,"N104NN","LAX","JFK",279,2475,7,0,2019-05-01 07:00:00
2019,5,1,654,700,-6,1504,1511,-7,"NK",57,"N535NK","LAX","PHL",274,2402,7,0,2019-05-01 07:00:00
2019,5,1,654,700,-6,812,837,-25,"DL",180,"N3766","LAX","SFO",56,337,7,0,2019-05-01 07:00:00
2019,5,1,656,600,56,1436,1345,51,"AA",494,"N174US","LAX","CLT",251,2125,6,0,2019-05-01 06:00:00
2019,5,1,657,700,-3,1452,1500,-8,"AS",278,"N842VA","LAX","IAD",266,2288,7,0,2019-05-01 07:00:00
2019,5,1,657,700,-3,1200,1203,-3,"AA",575,"N156AN","LAX","DFW",151,1235,7,0,2019-05-01 07:00:00
2019,5,1,657,700,-3,1209,1213,-4,"AA",430,"N818AW","LAX","IAH",163,1379,7,0,2019-05-01 07:00:00
2019,5,1,659,705,-6,819,830,-11,"WN",502,"N913WN","LAX","SMF",61,373,7,5,2019-05-01 07:00:00
2019,5,1,700,700,0,1401,1420,-19,"WN",377,"N441WN","LAX","ATL",228,1947,7,0,2019-05-01 07:00:00
2019,5,1,702,700,2,1212,1200,12,"WN",213,"N7889A","LAX","DAL",158,1246,7,0,2019-05-01 07:00:00
2019,5,1,705,705,0,954,959,-5,"DL",214,"N354DN","LAX","SLC",81,590,7,5,2019-05-01 07:00:00
2019,5,1,714,700,14,1012,955,17,"HA",1,"N370HA","LAX","HNL",328,2556,7,0,2019-05-01 07:00:00
2019,5,1,714,710,4,1308,1310,-2,"WN",38,"N759GS","LAX","BNA",213,1797,7,10,2019-05-01 07:00:00
2019,5,1,714,720,-6,819,825,-6,"WN",545,"N7855A","LAX","SJC",49,308,7,20,2019-05-01 07:00:00
2019,5,1,714,715,-1,1229,1249,-20,"DL",479,"N909DN","LAX","MSP",171,1535,7,15,2019-05-01 07:00:00
2019,5,1,718,721,-3,1425,1455,-30,"DL",368,"N880DN","LAX","DTW",224,1979,7,21,2019-05-01 07:00:00
2019,5,1,719,715,4,1233,1230,3,"WN",116,"N7867A","LAX","MCI",166,1363,7,15,2019-05-01 07:00:00
2019,5,1,721,725,-4,842,847,-5,"NK",249,"N530NK","LAX","OAK",55,337,7,25,2019-05-01 07:00:00
2019,5,1,721,720,1,1453,1455,-2,"WN",474,"N918WN","LAX","TPA",252,2158,7,20,2019-05-01 07:00:00
2019,5,1,721,730,-9,1024,1047,-23,"OO",961,"N933EV","LAX","BOI",103,674,7,30,2019-05-01 07:00:00
2019,5,1,723,715,8,1528,1536,-8,"UA",51,"N510UA","LAX","EWR",282,2454,7,15,2019-05-01 07:00:00
2019,5,1,734,725,9,1209,1215,-6,"WN",253,"N439WN","LAX","SAT",141,1211,7,25,2019-05-01 07:00:00
2019,5,1,734,730,4,1447,1446,1,"DL",171,"N823DX","LAX","ATL",233,1947,7,30,2019-05-01 07:00:00
2019,5,1,734,720,14,1518,1508,10,"AA",562,"N305NX","LAX","MCO",259,2218,7,20,2019-05-01 07:00:00
2019,5,1,735,740,-5,1057,1117,-20,"OO",945,"N119SY","LAX","COS",116,833,7,40,2019-05-01 07:00:00
2019,5,1,741,745,-4,833,855,-22,"WN",499,"N208WN","LAX","LAS",38,236,7,45,2019-05-01 07:00:00
2019,5,1,743,745,-2,1540,1544,-4,"AA",265,"N995AN","LAX","MIA",274,2342,7,45,2019-05-01 07:00:00
2019,5,1,744,750,-6,1536,1550,-14,"AS",333,"N625VA","LAX","FLL",268,2343,7,50,2019-05-01 07:00:00
2019,5,1,744,745,-1,1608,1616,-8,"AA",358,"N103NN","LAX","BOS",294,2611,7,45,2019-05-01 07:00:00
2019,5,1,746,750,-4,830,854,-24,"OO",944,"N103SY","LAX","SAN",28,109,7,50,2019-05-01 07:00:00
