"region","income","happy","age","finrela","marital","degree","health","wrkstat","partyid","polviews","sex","year"
"W. SOU. CENTRAL",NA,"PRETTY HAPPY",26,"ABOVE AVERAGE","NEVER MARRIED","BACHELOR","EXCELLENT","WORKING FULLTIME","IND NEAR REP","SLGHTLY CONSERVATIVE","MALE",2000
"W. SOU. CENTRAL","$8000 TO 9999","PRETTY HAPPY",48,"BELOW AVERAGE","DIVORCED","HIGH SCHOOL","FAIR","WORKING FULLTIME","NOT STR REPUBLICAN","CONSERVATIVE","FEMALE",2000
"W. SOU. CENTRAL","$15000 - 19999","PRETTY HAPPY",67,"BELOW AVERAGE","WIDOWED","HIGH SCHOOL","GOOD","KEEPING HOUSE","INDEPENDENT","CONSERVATIVE","FEMALE",2000
"W. SOU. CENTRAL","$25000 OR MORE","VERY HAPPY",39,"ABOVE AVERAGE","NEVER MARRIED","HIGH SCHOOL",NA,"WORKING FULLTIME","IND NEAR REP","SLGHTLY CONSERVATIVE","FEMALE",2000
"W. SOU. CENTRAL","$25000 OR MORE","PRETTY HAPPY",25,"ABOVE AVERAGE","DIVORCED","JUNIOR COLLEGE",NA,"WORKING FULLTIME","NOT STR DEMOCRAT","SLIGHTLY LIBERAL","FEMALE",2000
"W. SOU. CENTRAL",NA,"PRETTY HAPPY",25,NA,"MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","STRONG DEMOCRAT","SLIGHTLY LIBERAL","FEMALE",2000
"W. SOU. CENTRAL","$25000 OR MORE","VERY HAPPY",36,"AVERAGE","NEVER MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","NOT STR REPUBLICAN","MODERATE","MALE",2000
"W. SOU. CENTRAL","$20000 - 24999","PRETTY HAPPY",44,"AVERAGE","DIVORCED","JUNIOR COLLEGE","GOOD","WORKING FULLTIME","IND NEAR DEM","LIBERAL","FEMALE",2000
"W. SOU. CENTRAL","$25000 OR MORE","PRETTY HAPPY",44,"FAR ABOVE AVERAGE","MARRIED","GRADUATE","EXCELLENT","WORKING FULLTIME","NOT STR DEMOCRAT","SLIGHTLY LIBERAL","MALE",2000
"W. SOU. CENTRAL","$25000 OR MORE","VERY HAPPY",47,"ABOVE AVERAGE","MARRIED","BACHELOR",NA,"WORKING FULLTIME","STRONG REPUBLICAN","EXTRMLY CONSERVATIVE","MALE",2000
"W. SOU. CENTRAL","$25000 OR MORE","VERY HAPPY",53,"ABOVE AVERAGE","MARRIED","GRADUATE",NA,"WORKING FULLTIME","NOT STR DEMOCRAT","SLIGHTLY LIBERAL","FEMALE",2000
"W. SOU. CENTRAL","$25000 OR MORE","PRETTY HAPPY",52,"ABOVE AVERAGE","MARRIED","GRADUATE","GOOD","WORKING FULLTIME","IND NEAR REP","CONSERVATIVE","MALE",2000
"W. SOU. CENTRAL","$25000 OR MORE","PRETTY HAPPY",52,"AVERAGE","MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","STRONG DEMOCRAT","MODERATE","MALE",2000
"W. SOU. CENTRAL","$25000 OR MORE","VERY HAPPY",51,"ABOVE AVERAGE","MARRIED","BACHELOR","EXCELLENT","WORKING FULLTIME","STRONG REPUBLICAN","CONSERVATIVE","MALE",2000
"W. SOU. CENTRAL","$25000 OR MORE","PRETTY HAPPY",52,"ABOVE AVERAGE","DIVORCED","BACHELOR","EXCELLENT","UNEMPL LAID OFF","IND NEAR DEM","SLIGHTLY LIBERAL","FEMALE",2000
"W. SOU. CENTRAL","$25000 OR MORE","PRETTY HAPPY",40,"AVERAGE","MARRIED","HIGH SCHOOL",NA,"WORKING FULLTIME","STRONG DEMOCRAT","MODERATE","MALE",2000
"W. SOU. CENTRAL","$10000 - 14999","VERY HAPPY",77,"BELOW AVERAGE","WIDOWED","JUNIOR COLLEGE","EXCELLENT","RETIRED","STRONG REPUBLICAN","EXTRMLY CONSERVATIVE","MALE",2000
"W. SOU. CENTRAL","$25000 OR MORE","PRETTY HAPPY",44,"AVERAGE","NEVER MARRIED","HIGH SCHOOL",NA,"WORKING FULLTIME","INDEPENDENT","SLIGHTLY LIBERAL","MALE",2000
"W. SOU. CENTRAL","$10000 - 14999","PRETTY HAPPY",40,"BELOW AVERAGE","MARRIED","LT HIGH SCHOOL","GOOD","WORKING FULLTIME","NOT STR DEMOCRAT","SLGHTLY CONSERVATIVE","MALE",2000
"W. SOU. CENTRAL","$20000 - 24999","VERY HAPPY",45,"AVERAGE","MARRIED","HIGH SCHOOL","EXCELLENT","SCHOOL","INDEPENDENT","MODERATE","FEMALE",2000
"W. SOU. CENTRAL","$25000 OR MORE","PRETTY HAPPY",48,"FAR ABOVE AVERAGE","MARRIED","BACHELOR",NA,"WORKING FULLTIME","IND NEAR DEM","MODERATE","MALE",2000
"W. SOU. CENTRAL","$25000 OR MORE","VERY HAPPY",49,"ABOVE AVERAGE","MARRIED","BACHELOR","EXCELLENT","WORKING FULLTIME","STRONG REPUBLICAN","MODERATE","FEMALE",2000
"W. SOU. CENTRAL","$25000 OR MORE","PRETTY HAPPY",19,"ABOVE AVERAGE","NEVER MARRIED",NA,"EXCELLENT","SCHOOL","INDEPENDENT","SLIGHTLY LIBERAL","MALE",2000
"W. SOU. CENTRAL","$25000 OR MORE","PRETTY HAPPY",54,"AVERAGE","WIDOWED","BACHELOR","GOOD","KEEPING HOUSE","IND NEAR REP","CONSERVATIVE","MALE",2000
"W. SOU. CENTRAL","REFUSED","PRETTY HAPPY",82,"AVERAGE","WIDOWED","BACHELOR","GOOD","RETIRED","NOT STR DEMOCRAT","MODERATE","FEMALE",2000
"W. SOU. CENTRAL","REFUSED","PRETTY HAPPY",83,"AVERAGE","WIDOWED","HIGH SCHOOL","FAIR","RETIRED","STRONG DEMOCRAT","MODERATE","FEMALE",2000
"W. SOU. CENTRAL","$1000 TO 2999","PRETTY HAPPY",89,"AVERAGE","WIDOWED","HIGH SCHOOL","POOR","RETIRED","NOT STR DEMOCRAT","MODERATE","MALE",2000
"W. SOU. CENTRAL","REFUSED","NOT TOO HAPPY",88,"ABOVE AVERAGE","WIDOWED","HIGH SCHOOL","FAIR","RETIRED","STRONG REPUBLICAN","MODERATE","FEMALE",2000
"W. SOU. CENTRAL","$10000 - 14999","PRETTY HAPPY",72,"BELOW AVERAGE","DIVORCED","HIGH SCHOOL","POOR","RETIRED","STRONG DEMOCRAT","MODERATE","FEMALE",2000
"W. SOU. CENTRAL","REFUSED","VERY HAPPY",82,"ABOVE AVERAGE","WIDOWED","HIGH SCHOOL","EXCELLENT","RETIRED","INDEPENDENT","LIBERAL","FEMALE",2000
"W. SOU. CENTRAL","$25000 OR MORE","VERY HAPPY",89,"BELOW AVERAGE","WIDOWED","HIGH SCHOOL",NA,"RETIRED","IND NEAR REP","MODERATE","FEMALE",2000
"W. SOU. CENTRAL","REFUSED","VERY HAPPY",34,"AVERAGE","MARRIED","BACHELOR","GOOD","WORKING FULLTIME","NOT STR DEMOCRAT","SLGHTLY CONSERVATIVE","FEMALE",2000
