"","region","income","happy","age","finrela","marital","degree","health","wrkstat","partyid","polviews","sex","year"
"37639","MIDDLE ATLANTIC","$4000 TO 4999","NOT TOO HAPPY",71,"FAR BELOW AVERAGE","WIDOWED","LT HIGH SCHOOL","POOR","KEEPING HOUSE","NOT STR DEMOCRAT","SLGHTLY CONSERVATIVE","FEMALE",2000
"52228","NOT ASSIGNED","$15000 - 19999","PRETTY HAPPY",61,"FAR BELOW AVERAGE","MARRIED","BACHELOR","IAP","WORKING PARTTIME","STRONG REPUBLICAN","CONSERVATIVE","MALE",2010
"39101","E. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",41,"AVERAGE","MARRIED","HIGH SCHOOL",NA,"WORKING FULLTIME","NOT STR REPUBLICAN","SLGHTLY CONSERVATIVE","FEMALE",2000
"18321","W. SOU. CENTRAL","$20000 - 24999","PRETTY HAPPY",30,"AVERAGE","MARRIED","HIGH SCHOOL",NA,"WORKING FULLTIME","NOT STR DEMOCRAT","MODERATE","FEMALE",1986
"36903","PACIFIC","$8000 TO 9999","NOT TOO HAPPY",26,"BELOW AVERAGE","NEVER MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","NOT STR DEMOCRAT","MODERATE","FEMALE",2000
"216","SOUTH ATLANTIC","$3000 TO 3999","PRETTY HAPPY",60,"AVERAGE","MARRIED","LT HIGH SCHOOL","GOOD","WORKING PARTTIME","STRONG REPUBLICAN",NA,"MALE",1973
"34083","PACIFIC","$25000 OR MORE","VERY HAPPY",29,"ABOVE AVERAGE","MARRIED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","NOT STR REPUBLICAN","SLGHTLY CONSERVATIVE","FEMALE",1998
"1938","E. NOR. CENTRAL","$10000 - 14999","PRETTY HAPPY",20,"AVERAGE","NEVER MARRIED","HIGH SCHOOL","EXCELLENT","SCHOOL","IND NEAR DEM","LIBERAL","MALE",1974
"17592","E. NOR. CENTRAL","$20000 - 24999","PRETTY HAPPY",27,"BELOW AVERAGE","NEVER MARRIED","HIGH SCHOOL",NA,"WORKING FULLTIME","IND NEAR REP","LIBERAL","FEMALE",1986
"6600","SOUTH ATLANTIC","$8000 TO 9999","PRETTY HAPPY",35,"AVERAGE","MARRIED","LT HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","INDEPENDENT","LIBERAL","MALE",1977
"1046","PACIFIC","$10000 - 14999","NOT TOO HAPPY",41,"ABOVE AVERAGE","MARRIED","LT HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","NOT STR DEMOCRAT",NA,"MALE",1973
"48997","W. SOU. CENTRAL","$10000 - 14999","PRETTY HAPPY",20,"AVERAGE","NEVER MARRIED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","IND NEAR DEM","SLIGHTLY LIBERAL","MALE",2006
"49740","MIDDLE ATLANTIC","REFUSED","PRETTY HAPPY",55,"BELOW AVERAGE","MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","NOT STR DEMOCRAT","MODERATE","MALE",2008
"52394","E. NOR. CENTRAL","$25000 OR MORE","VERY HAPPY",56,"FAR ABOVE AVERAGE","MARRIED","BACHELOR","IAP","WORKING FULLTIME","STRONG REPUBLICAN","CONSERVATIVE","FEMALE",2010
"33185","W. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",44,"AVERAGE","MARRIED","BACHELOR","GOOD","WORKING FULLTIME","NOT STR REPUBLICAN","SLGHTLY CONSERVATIVE","MALE",1996
"35702","SOUTH ATLANTIC","$15000 - 19999","PRETTY HAPPY",37,"AVERAGE","DIVORCED","HIGH SCHOOL","GOOD","WORKING FULLTIME","NOT STR DEMOCRAT","LIBERAL","MALE",1998
"22587","SOUTH ATLANTIC","$25000 OR MORE","VERY HAPPY",55,"AVERAGE","MARRIED","HIGH SCHOOL",NA,"WORKING FULLTIME","NOT STR DEMOCRAT","SLGHTLY CONSERVATIVE","MALE",1989
"28132","E. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",37,"AVERAGE","DIVORCED","JUNIOR COLLEGE","EXCELLENT","WORKING FULLTIME","IND NEAR DEM","MODERATE","FEMALE",1994
"51403","MIDDLE ATLANTIC","$25000 OR MORE","PRETTY HAPPY",35,"AVERAGE","MARRIED","GRADUATE","EXCELLENT","WORKING PARTTIME","NOT STR REPUBLICAN","CONSERVATIVE","FEMALE",2008
"18401","PACIFIC","$20000 - 24999","VERY HAPPY",37,"BELOW AVERAGE","MARRIED","HIGH SCHOOL",NA,"KEEPING HOUSE","STRONG REPUBLICAN","CONSERVATIVE","FEMALE",1986
"18845","NEW ENGLAND","$20000 - 24999","PRETTY HAPPY",36,"AVERAGE","MARRIED","JUNIOR COLLEGE","GOOD","WORKING PARTTIME","INDEPENDENT","MODERATE","FEMALE",1987
